,Dialogue
78157,happened
78158,deny pleasure get tell birthday
78159,actually 's nightmare 've desperate shag watching suffer much fun try
78160,'s interesting theory
78161,read cosmopolitan
78162,returned video shop fucking video store every punter edinburgh jerking video feel sick
78163,mean 's 'gone ' gone
78164,yes want watch 're screwing
78165,let 's put tape
78166,'re sheet
78167,problem either honestly 's problem
78168,'s need
78169,'ll put sheet washing machine
78170,morning sit breakfast
78171,mr leaving friend aside see weakness
78172,homeless people
78173,see main strength
78174,n't worry fella secret 's safe 'll send shuttlecraft pick
78175,visual say sunny sky seventy degree
78176,problem gentleman
78177,return prearranged coordinate pickup
78178,bad news gentleman shore leave 's cancelled
78179,bird prey bearing one five two
78180,city boost power 're barely receiving transmission
78181,'re receiving transmission city 're demanding know intention
78182,'re receiving hostage information requested
78183,starfleet transmission line
78184,er forgot take
78185,mr apologizes send shuttlecraft transporter beam non operational 've received important order starlet command
78186,'s much want tell
78187,simply put u touch feeling 've always afraid express
78188,dear ' madman
78189,easy easy easy easy 're back u
78190,starfleet aware currant status
78191,feeling would say something like brought u dinner
78192,thought supposed going together
78193,know 'll whip shape always
78194,n't think 'm cleared
78195,
78196,
78197,'s
78198,warn
78199,mean want u go
78200,want go place
78201,oh wish 'd forget ago 've totally gotten
78202,7 access
78203,say
78204,say 7 access
78205,'s going upstairs
78206,ca n't
78207,wo n't de rezzed
78208,going
78209,'ve got help
78210,almost adjust course next junction 'd better go check instrument
78211,
78212,'s far
78213,blasted domain left power
78214,little mountain think 's silicon valley
78215,user world
78216,'re getting business
78217,well n't forget old friend 're rich famous
78218,stay top floor 'll never know 've
78219,okay 'm gon na put terminal laser lab 'll 's office
78220,n't even say 've got find file
78221,'m afraid 's little late 's shut 7 access must know 're
78222,see friend fourteen year old
78223,sneaking icom system
78224,talk
78225,'s something user
78226,ca n't 's junction due least 7 8 nanosecond
78227,power surge transmission beam 's strong
78228,owe thanks
78229,yesit take u across sea simulation way game gridto
78230,'ve grown big program
78231,'s flat wait micro
78232,quarter
78233,
78234,ca n't believe bad 's gotten around since started taking good function shut everybody look dead 'm afraid even go time
78235,oh knew 'd escape 've never built circuit could hold
78236,shutup never told
78237,hour tell stud take time
78238,cover hour
78239,ohmygod
78240,'s mystery
78241,bitch
78242,yeah know
78243,'m shocked
78244,kidding go town
78245,mean 's like 's saving world anything 's sale rep chrissakes whenever ca n't get sleep ask tell day six second 'm act like 's curing cancer something
78246,report
78247,young
78248,'m done
78249,
78250,going
78251,dinner 's warmer tell late
78252,true n't know anything still think 'm like ten year old something smile say yes whatever say like good little fantasy think everything 's fine 's fine nothing 's fine
78253,'s true
78254,wake barely know exist
78255,'re 're going stay get home cake
78256,n't care enough u birthday care 'm going movie
78257,going
78258,think know everything n't
78259,unbelievable told wrote 's history
78260,come know word
78261,wind like 's point
78262,yeah right
78263,fine
78264,'m pumpkin okay look even remotely like pumpkin 'm muffin cupcake honeybear either n't understand anything
78265,okay
78266,yeah
78267,great 're going believe fat dweeb mr
78268,lie 's office cause headache
78269,impressive gentleman course would even impressive actually knew
78270,
78271,make think slack cut way translates
78272,'re new 's team n't
78273,look ask everything twice going take really time get home
78274,husband good
78275,n't cheating
78276,never
78277,n't know guess wanted see would happen
78278,gone suppose
78279,yes sir
78280,yes sir
78281,ten mr
78282,sure say
78283,tell u
78284,exactly
78285,samir see guess specialty
78286,hello
78287,yes
78288,'ve always collector heart see something want
78289,client want something lobby new corporate headquarters
78290,agree
78291,call 'd like see piece
78292,good 's sixth century bc like period
78293,yet 'll find
78294,seen standing covered spaghetti sauce looked like dope
78295,oh shit
78296,going
78297,'re island using truck
78298,much used
78299,still love
78300,tell something stuff wear start lying
78301,snap
78302,
78303,total lying scumsucking pig
78304,pork
78305,
78306,sex woman line duty
78307,going die
78308,working yet
78309,make tell truth
78310,give
78311,n't call n't ever get call understand pig
78312,oh yeah oh yeah get
78313,'s matter tell truth 're married
78314,
78315,quiet let handle
78316,'s got nothing 's want right
78317,'m wearing
78318,sick bed go
78319,oh flat tire yeah thought damn towtruck never going get
78320,natasha
78321,
78322,think
78323,husband ca n't know
78324,think course yes 's involved
78325,oh gee thanks mmmm let see
78326,love always loved always love go home please
78327,yes
78328,
78329,let right
78330,
78331,needed feel alive wanted something outrageous n't know felt good needed trusted special
78332,n't know guess needed something
78333,yes
78334,wanted go mission pose
78335,'s none goddamn business kind question
78336,yeah suppose
78337,say 's sale rep company
78338,well maybe little
78339,
78340,needed help
78341,three day later called told meet overlook park
78342,n't know anything faction met whatever name couple week ago barely know
78343,ca n't promised 'd go shopping sorry
78344,oh sure fine 'll get gravy
78345,yeah rush thing needed document court house barely made
78346,must 've missed
78347,husband hero
78348,sound wild 're big hero right fixing system
78349,'d
78350,'ll second happened tonight office
78351,yeah great
78352,'s okay n't bother
78353,need talk vice principle called cut afternoon
78354,slept knocked hundred buck
78355,'s okay 's extortion
78356,'s fabulous
78357,'d go trade show make salesman jealous
78358,
78359,okay
78360,hi flight
78361,go ahead
78362,uh well okay sound terrible 'll run right call prescription pharmacy sure problem bye
78363,
78364,said american
78365,kettleman mcgrath 'm legal
78366,fuck
78367,like one
78368,hold thought
78369,something obviously hard time
78370,keep knee together 'll fine
78371,samir going ask question see 're even sure agency work samir absolutely first managed lie convincingly love 15 year interesting see resist
78372,'s going
78373,n't understand 've married 15 year
78374,dear federal killed two colleague night
78375,look 's part 's sale rep
78376,'s tasker renquist
78377,'m tasker 's husband
78378,'s little friend
78379,glance inside
78380,
78381,'s 's sixteen year since anyone
78382,n't know think
78383,'re going
78384,'m married
78385,need
78386,'s happened
78387,'ll call
78388,want
78389,chased one
78390,right course worried n't hear night
78391,trust completely
78392,tell happened
78393,
78394,yes
78395,understand
78396,kept looking back like taught n't see anyone
78397,yes suppose
78398,yes go ahead
78399,hello
78400,
78401,
78402,want
78403,checked okay
78404,'s good thing pay well
78405,yeah got elbowed right eye n't enough got hurled ball 'm looking wam right face
78406,great got
78407,good gon na another
78408,'re gon na
78409,want speak
78410,nope
78411,yes
78412,gotten mail yet
78413,letter
78414,get letter
78415,said n't go nowhere 'll time tomorrow
78416,ca n't wait meet told said best friend guess make best friend
78417,hi 'm worley
78418,'s fun thinking money walk away
78419,thought wanted
78420,'s got nice ring sound like movie go cancoon n't 'cha think
78421,cancoon
78422,ai n't kiddin ' got life start go somewhere really start scatch
78423,
78424,come
78425,really
78426,'m gon na hop tub get wet slippery soapy 'm gon na lie waterbed even dry watch rated movie till get as back lovin ' arm
78427,felt stupid blowing bubble
78428,quickdraw 'm proud like ninja part ok
78429,nope 'm really wine gal
78430,romantic
78431,think
78432,think
78433,joke
78434,
78435,n't know
78436,forget wan na disappear
78437,
78438,
78439,goin '
78440,
78441,course others mr worley
78442,bottom ninth mr worley oh mr worley seen lovely today
78443,mr worley
78444,
78445,n't believe
78446,better fucking teasing
78447,yes
78448,
78449,bus station said 'd perfect call knew agency california recommendation would handle exclusive clientele movie star big businessmen total collar girl agency get grand night least five hundred drive porsches live condo stockbroker carry beeper know like allen dressed kill ready 'd call 'em give plane ticket send way say make nice finder 's fee finding hot prospect one 's gon na pay grand night n't know whether shit wind watch 'm doin ' sorta learnin ' rope seemed like lotta fun n't really like much till last night third trick n't feel like trick since secret pretended date um guess want second date
78450,slapped around little punched stomch pretty scary
78451,well would n't go far call nice 's treated pretty decent 've four day got little rough day
78452,think say apache suspect 's lying
78453,uh huh
78454,uh huh
78455,pimp
78456,'s tv say dear could n't write anymore n't want ever see fact 's stupid ever see la night n't know felt n't much fun since scout said come let know 's tell go fuck go back fuck
78457,n't know n't talk plan bump pick spend night asleep gon na write note say last day leaving plane morning ukraine marry rich millionaire thank making last day best day
78458,yeah one somebody work arranged meet
78459,'m call 's difference ya know n't know maybe 's place took last night comic place
78460,'m theater 'm call
78461,'ve got something tell n't happen theater paid
78462,n't nothing
78463,really loved
78464,mean got bad batch
78465,od 'd n't
78466,love janis
78467,'re stupid wrong
78468,would make think
78469,movie
78470,oh look cute little
78471,oooooh look cute little outfit old
78472,spiderman look different
78473,'s
78474,n't even know store sold comic book
78475,bet much
78476,get paid lot
78477,'s time
78478,worked
78479,wow swell place work
78480,looked like nice little scared sure couldda used nice time spilled popcorn
78481,apparently hit something really heavy giving form amnesia came n't know came luckily 's license would n't even know name hoped would tell lived tallahassee address stopped somebody street told detroit help money hopped cab saw somethin ' looked familiar reason n't ask theater looked familiar told stop got
78482,'m sure yet ask later
78483,'m sure must something n't really remember thing come mind persian
78484,rourke somebody appreciate finer thing life like 's good kung fu tasty piece pie
78485,spector stuff know like 's rebel
78486,much
78487,yes would
78488,
78489,n't remember top 'd say black
78490,might tallahassee 'm sure yet
78491,n't remember
78492,ask one one
78493,want know
78494,'s nothing tell
78495,'bout
78496,would like get pie
78497,well 's see really good movie really like go get pie talk 's sort tradition like eat pie 've seen good movie
78498,suppose got ta get huh
78499,time
78500,sure
78501,took cab
78502,'s real name really got proof see
78503,pleased meet ya
78504,r 'd love see
78505,kick as
78506,great movie action packed
78507,thought good
78508,want goober
78509,oriental
78510,wonderful philosophy thanks sweetheart could real
78511,'m clumsiest person world
78512,oh look happened oh 'm sorry ok
78513,went labor panicked never crashed car picture car 's demolished crowd starting gather yelling going contraction losing completely screaming yellow zonkers nowhere thin air big bus appears bus say get forgot route drove straight hospital nice wanted name sign gratitude well name waldo matter grateful even i'da would't call waldo asked waldo go
78514,bye bye
78515,ca n't got ta go want read letter letter explains want know love want know tomorrow money problem
78516,get
78517,ya looked
78518,letter sent
78519,n't eat anything
78520,say got ta hittin '
78521,oh hush
78522,bye see real soon
78523,'s nine o'clock morning nothing 's open
78524,n't get chicken
78525,forager 's back
78526,okee dokee doggie
78527,'m pretty hungry went store gon na get ding dong
78528,wan na take kung fu movie
78529,'s chiba
78530,gon na see
78531,'bout
78532,alive would n't fuck
78533,'d fuck
78534,read lip
78535,
78536,'m wearing bra
78537,way josä
78538,'m gon na put shit purse
78539,must high uh huh way
78540,
78541,'ll get ticket meet gift shop
78542,'re identified 're going send u someplacebut key
78543,looking u use fix men 's room
78544,airport look maybe 's moustache 's slipping
78545,'s freeing animal
78546,remember youlike feel 've known feel 've always known
78547,well look pretty different
78548,week started wo n't still baseball game traffic jam armed robbery boring tv show 'll happy 'll glad turn
78549,stick head window feel wind listen music appreciate forgive psychiatrist n't cry
78550,ca n't change anythingbecause 's already happened ought least smell flower
78551,shh n't talk hold still
78552,could n't heard
78553,could n't resist relieved wait 'll hear nutty telling themthey better watch army twelve monkey
78554,superior scientist people future 's carpet cleaning company mail leave message telling want carpet cleaned
78555,'s carpet cleaning company
78556,iiwe need
78557,jamesdo remembersix year agoyou number tried call
78558,well ca n't meani 'm trying ca n't believe everything say already happened ca n't change 's going happen 'm one three billion people going diesoon
78559,bullet world war one leg get
78560,mean
78561,n't tv show real
78562,said hiding barn
78563,well know hoax
78564,disappeared one minute next minute gone run
78565,like prison
78566,okayyou standing looking moonyou eating grass
78567,'re avoiding cantalk
78568,'s pretend n't know see
78569,'re sure
78570,give gun
78571,first 's important surrender instead catching running okay
78572,dealt want help
78573,nobody going wipe human race anybody else 've created something mind substitute reality order avoid something n't want face
78574,made think
78575,see drive
78576,done youkill someone
78577,give know
78578,want turn 'll go much better 'm going trick
78579,shot shot
78580,'s matter leg
78581,thought n't know drive
78582,told famous virologist
78583,know dr 's son n't met county hospital six year ago
78584,
78585,n't
78586,n't gun
78587,oh killed
78588,uh yes mean scrape
78589,'s keeping eye
78590,'m going anything promise need help none think
78591,mean
78592,disturb thinking little well
78593,dowhen find thissecret army
78594,clue kind clue
78595,'re flushed moaning think 're running fever
78596,n't 's become ofwhat 's happening please untie
78597,
78598,dream 's important life seem become pretty important dream
78599,something terrible happen something bad
78600,something really happenslike
78601,
78602,'d prefer jamesyou n't really gun
78603,yes remember want go philadelphia
78604,ca n't believe coincidence mr beenfollowing
78605,escaped locked room six year ago
78606,'re confused
78607,'s shot calm
78608,thestrangest feeling 've met beforea time ago perhaps ever
78609,grow around around baltimore
78610,perhaps wrong number
78611,1995 future 1989
78612,think 's july 1995 's future think 're living future
78613,year think
78614,know year
78615,july
78616,think n't germ air
78617,'re afraid germ
78618,'s wonderful air
78619,hiding
78620,jail prison
78621,'ve institution n't hospital
78622,people id
78623,n't 's license social card
78624,see n't remember assaulting officerseveral officer
78625,know 're
78626,change
78627,kind information
78628,patient county seen someplace
78629,'m going completely honest 'm going lie ca n't make let gobut want help want trust call
78630,mr name 'm work county n't work concern well understand
78631,believe 's accepted truth n't psychiatry 's latest religion 're priest decide 's right 's wrong decide 's crazy n't 'm trouble 'm losing
78632,sake listen knew fresno say three billion people going die
78633,fully sedated
78634,said bad judgment else want say
78635,okay bad judgment strangest feeling 've seen somewhere
78636,n't think defensive
78637,'ll right herejust
78638,thank
78639,'s everything got none cole match license print warrant nothing want go
78640,yes please said gave name
78641,want go examine
78642,would explain bruise guess struggle
78643,listening got two officer hospital yeah 's restraint plus medic gave enough stellazine kill horse look still foot
78644,restraint
78645,negative drug took five cop like dusted eyeball drug believe
78646,'s tested drug
78647,get ask real nice kind id get agitated start screaming virus totally irrational totally disoriented n't know day alla stuff got name 's stoned mind 's kinda psychotic episode 're gon na bring
78648,twelve monkey guess folk n't turn morning
78649,say
78650,mornin ' okay plenty time today got ta take inta account army twelve monkey factor
78651,tight watch say 730
78652,might tight
78653,nine thirty
78654,shasta 'd go scare nice like sorry hon enjoy beer try nice day
78655,got regular want n't
78656,ai n't got kirin got
78657,ai n't got 's
78658,would truck stop without beer
78659,'re well get something hon
78660,'d serve right run get mop mess
78661,look done right
78662,let get change
78663,lord put icebox killed poor thing
78664,poor thing right
78665,pay mind like show give couple hour 'll cool still want beer
78666,know think every see
78667,
78668,
78669,n't tell anything ca n't
78670,want
78671,killed could n't stop made come told said word would kill
78672,
78673,
78674,fight wanted get away awhile mr kind enough take far montrose 'm going take bus 's thought 'd stay day
78675,yes yes
78676,
78677,oh someone 'll go away call n't go
78678,buy gun
78679,
78680,n't hear anything dreaming maybe wind blew something
78681,could sleeping
78682,'s matter
78683,nothing absolutely nothing
78684,picked thought would like color
78685,n't even looked
78686,never said anything drape
78687,put new drape
78688,wrong number
78689,thought would work dear
78690,fuck hear fuck
78691,christ 's sake throw key
78692,idiot 'll kill u
78693,someone find
78694,n't throw key 'll walk away walk away leave
78695,throw key 'll pull
78696,swear
78697,going back car ridge pull
78698,'s 's locked
78699,trunk 's locked
78700,throw key
78701,throw key
78702,hear still
78703,'ll get
78704,'m
78705,climb back
78706,right
78707,
78708,n't want go mexico want n't think care
78709,want say
78710,crooked bastard would killed u
78711,difference make killed
78712,said could together
78713,
78714,kind think make relax
78715,'re tense uptight
78716,going
78717,drive
78718,'s money right take
78719,going take money
78720,shot
78721,ca n't prove anything ca n't turn u
78722,
78723,n't matter let happen ca n't take u
78724,'s talk 's got nothing u let kill
78725,damn ca n't prove anything
78726,please ca n't go jail wanted part
78727,
78728,push funny thing would n't start
78729,got money packed put jeep garage way people think maybe went away might buy u time
78730,hell 's matter
78731,wait
78732,going
78733,never needed one 've never anywhere 've got backpack
78734,let watch want know 's missing
78735,let 's
78736,
78737,want
78738,told knew n't tell
78739,n't yell know 's know
78740,n't would wear stupid key
78741,'s got heard talk bragged six step three left
78742,
78743,n't yell
78744,'m sure exactly never saw heard talk
78745,n't know
78746,supposed
78747,dark 'll leave back door unlocked
78748,said could n't kill anybody
78749,sure mean
78750,changed mind money
78751,thought could n't leave thought could n't get car
78752,know 're full shit
78753,stop
78754,u remember
78755,n't think anything talk
78756,thought would way vega something wanted
78757,'s like 's young 's time live
78758,bad would quick would n't even feel
78759,talking
78760,please
78761,going
78762,'d kill
78763,'s combination take key keep time mean time scratch
78764,lied mean
78765,near must hundred thousand
78766,yeah bird gilded cage
78767,'s got money floor safe living room 've never seen talk time like brag love money would n't think spending
78768,n't give u take
78769,
78770,know could get money lot one hundred fifty dollar
78771,please wo n't hang soon get dump n't care want get
78772,take
78773,pretty
78774,ever
78775,far california
78776,bad 's like would n't try make happy awhile anyway mean would thing guess 'm good way guess tried sucker along like hate would n't blame maybe 's like said got whatever take get
78777,'s easy maybe take chance maybe wander around like stray wherever please ca n't n't want alone need know 'm going taken care
78778,n't know
78779,nothing 've spent life stinking desert n't get like got n't mind n't mind nothing land broker big fish small pond say like little fish dried watering hole
78780,'m still n't see
78781,yeah guess 're right
78782,depends call love growing nothing learned want everything wanted sierra anyway ticket 's much 's older different 's got money half town put together courted let think courtin ' reeled like fish line wanted wanted could give would 've done anything get love
78783,
78784,yeah like sun grew reservation sun desert like religion u 's way love desert guess 're alike way 's way
78785,say 's happened must true
78786,maybe want hear say
78787,'s answer want
78788,never answer question
78789,maybe like find first maybe like know 's made
78790,really game want play carry fall bed
78791,game
78792,
78793,drape hang
78794,like sick looking room think add little life
78795,beautiful
78796,let go 'm safe look
78797,lift
78798,done lift
78799,tell every face tell everybody past pain something want want
78800,come
78801,word
78802,tribe 's
78803,little little mostly tell fortune
78804,guess must
78805,thank
78806,good 'cause liked saw
78807,like watching
78808,'m sorry n't mean
78809,somewhere else 've never anywhere else year ago went state fair nice n't nothing
78810,happens lose
78811,travel around direction steady work must like taking chance
78812,headed
78813,'ve around
78814,coming
78815,'ve made hot sweaty
78816,least leave
78817,good luck n't happen back maybe never would found day like today 'd dead sure
78818,drove sierra
78819,n't dead look eye like thing live get day
78820,'re around
78821,thank
78822,'course cost little really spending damn n't hardly ever anything nice deserve nice thing
78823,saw 's catalog knew ever seen something knew
78824,got tired looking old drape remember
78825,oh n't car 's way parked closer n't think would heavy could drive
78826,'s nice help package kind heavy 's hot
78827,careful
78828,happened
78829,want carry pack
78830,sure manage
78831,'s
78832,'re pretty full n't
78833,maybe n't want
78834,call
78835,told never accept offer stranger
78836,'m going car
78837,leave alone
78838,want stay
78839,honest asked quarter jukebox
78840,aw n't nothing talking
78841,n't afraid none n't care still together
78842,n't matter beat knock teeth 's drooling bleeding hisself 'cause love gon na run 'm gon na love
78843,'s name anyway
78844,'re late 're going get fancy car ride leave behind
78845,eighteen well 'm gon na eighteen two year n't mean ca n't take ride want
78846,'s thought came riding saw car gas station 's cool want take ride desert 's kind lonely time day
78847,'s mean let take stuff ai n't spoken yet
78848,going fight
78849,defending honor afternoon
78850,hey mister mister wanted thank
78851,ai n't one movie
78852,'re around
78853,gee 's sad n't make sad
78854,like patsy cline love come wonder n't put new record
78855,pick one
78856,got request
78857,happened
78858,wan na play song juke got quarter
78859,hey mister got ta quarter
78860,senor need
78861,senor
78862,call policia
78863,hablar slowly por favor ingles e bien
78864,eh
78865,n't afraid none n't care still together
78866,n't matter beat knock teeth 's drooling bleeding hisself 'cause love gon na run 'm gon na love
78867,'s name anyway
78868,'re late 're going get fancy car ride leave behind
78869,eighteen well 'm gon na eighteen two year n't mean ca n't take ride want
78870,'s thought came riding saw car gas station 's cool car want take ride desert 's kind lonely time day
78871,'s mean let take stuff ai n't spoken yet
78872,going fight
78873,defending honor afternoon
78874,hey mister mister wanted thank
78875,ai n't movie
78876,'re around
78877,gee 's sad n't make sad
78878,like patsy cline love come wonder n't put new record
78879,pick one
78880,got request
78881,happened
78882,wan na play song juke got quarter
78883,hey mister got ta quarter juke
78884,call
78885,hablar slowly por favor ingles e bien
78886,eh
78887,ujakeu
78888,love
78889,'s
78890,make back
78891,right
78892,four letter word
78893,died canyon
78894,n't want go mexico please really want n't blow n't think care
78895,baiting tell get like told going kill
78896,n't leave want say
78897,n't believe anything
78898,n't think would 've done wanted make relax
78899,think 's dead 's money n't need anymore might sneak behind sometime andpop
78900,ui n't know whyu
78901,n't really want know fucking n't want know
78902,n't want know bet 's burning hole brain
78903,n't going ask
78904,scumbag wanted umeu guy n't let go even 're udeadu n't know like two
78905,deal mind killing 's murder blackmailing sucking rest life thanks
78906,get real gon na kill uandu
78907,talking
78908,hawaii 've read 've dreamed going lying beach water licked foot oh 'd kill go
78909,anywhere
78910,thought
78911,take friend ' boat
78912,ca n't dump fast someplace
78913,spent day wasted entire life feel like someone took million pound shoulder
78914,n't know feel like free place
78915,ahead hold
78916,'m coming back
78917,got money packed put jeep garage people 'll think maybe went away buy u timei know back road take
78918,hell 's matter
78919,money 's right get key
78920,dark 'll leave back door unlocked
78921,said could n't kill anybody
78922,sure mean
78923,changed mind money
78924,thought could n't get car
78925,know 're full shit
78926,stop
78927,u remember
78928,n't think anything talk
78929,'s like 's young 's time live 'd quick mean would n't even ufeelu mean sometime night 's quietwhen 's asleep could come behind 's pounding
78930,kill
78931,take key keep time mean uall timeu scratch
78932,oh yeah 's nothing else n't trust bank keep money floor right bed love much would n't think spending never seen know 's got hunnert thousand least
78933,night sits laugh talk count heard told hunnert thousand dollar maybe
78934,hide safe floor bedroom count love sit
78935,never give ' n twenty buck time like bird cage n't want goin ' anywhere
78936,know
78937,please wo n't hang soon get dump n't care want get
78938,pretty
78939,yeah want life right ever california
78940,got divorce forced marry himbut saw swore soul day 'd get
78941,'re sick toohe loved thing control momit tore cause could n't nothing become alcoholicand funny thing liked liked controlled truth far crazy got wanted umoreu wanted go way woman say n't want taken like ureally takenu 's bullshit first time finished said 14 started cry like babywanted hold 's strange feeling hate someone much many year still want hold comfort found right bottom apache leap needle stuck virgilsheriff said drunk went insane 'll never believe ran accident born earth loved like wanted fly away
78942,uwasu shamanin mine nothin ' died took u gave u little money used call little halfbreed kept side y'know cause married someplace else phoenix think one knew around herebut thing wasyou see raping whole timefor year loved thing believe used say love as y'ever love 's as
78943,'s mess mean
78944,'d never understand
78945,get town quick
78946,nothing
78947,bad 's like would n't try make happy awhile anyway mean would thing guess 'm good way guess tried sucker along like hate would n't blame maybe 's like said got whatever take get
78948,'s easy maybe take chance maybe wander around like stray wherever please ca n't n't want alone need know 'm going taken care
78949,n't know
78950,nothing n't get like get say n't mind nothing big fish small pond like little fish dried watering hole
78951,'m still n't see
78952,yeah guess 're right
78953,let think courtin ' reeled like fish line wanted wanted could give would 've done anything get love
78954,depends call love grew reservation patch desert nowhere 's stick indian 's leave u die killed 19 cause could n't take anymore 's ticket
78955,
78956,yeah like sun grew reservation sun desert like religion u 's way love desert guess 're alike way 's way
78957,hear comin ' wo n't bother n't sneak 'em
78958,know 's still
78959,maybe want hear say
78960,'s answer want
78961,never answer question
78962,maybe like find first maybe like know 's made
78963,really game want play carry fall bed
78964,would
78965,drape hang
78966,like sick looking room think add little life
78967,beautiful
78968,let go 'm safe look
78969,lift
78970,done lift
78971,tell every face tell everybody past pain something want want
78972,come
78973,word
78974,tribe 's
78975,little little mostly tell fortune
78976,guess must
78977,thank
78978,good 'cause liked saw
78979,like watching
78980,'m sorry n't mean
78981,happens lose
78982,never played tennis travel around direction steady work must like taking chance
78983,mister
78984,headed
78985,'ve around
78986,coming
78987,'ve made hot sweaty
78988,'re lucky n't break desert day like today 'd dead time leaving
78989,drove
78990,n't dead look eye like thing live get day
78991,'re around
78992,thank
78993,oh n't car 's way parked closer n't think would heavy could drive
78994,'s nice help package kind heavy 's hot
78995,careful
78996,happened
78997,want carry pack
78998,sure manage
78999,'s
79000,'re pretty full n't
79001,maybe n't want
79002,call
79003,told never accept offer stranger
79004,'m going car
79005,shasta 'd go scare nice like sorry mister let 's see want 325 try nice day would
79006,plain ol ' fuckin ' take fuckin ' leave
79007,ai n't got heineken got
79008,'s 1 coors
79009,kind
79010,look done right
79011,let get change
79012,know think every see
79013,lord little gotten cuter ' n 's nose
79014,goddamnit stop n't
79015,sound like see future n't go back love
79016,got wrong
79017,anybody hurt
79018,well offered could n't refuse car overheated
79019,morning got drape
79020,like helped
79021,n't go call
79022,yeah heard key slapping as
79023,'s matter
79024,please
79025,oh oh please forgive papa
79026,yes yes hit mebeat please
79027,nothing absolutely nothing
79028,picked thought would like color
79029,n't even looked
79030,never said anything drape
79031,put new drape
79032,wrong number
79033,leave alone
79034,want stay
79035,honest axed quarter jukebox
79036,aw n't nothing talking
79037,'s like resent u resent life
79038,
79039,count
79040,maybe n't specific moment maybe
79041,'s finished
79042,think carefully
79043,turn first time thought popped might make
79044,'re supposed honest
79045,soft wet artist formerly known
79046,n't know mine 's still
79047,rust
79048,n't anything told theory 's sad get like loose reality
79049,oh came visit center today
79050,yes
79051,'s laying bed 's pretty upset wo n't talk
79052,use sleeve
79053,often possible people get scared see limit n't know really n't know far away real limit standing stop fear
79054,hoping would call anyway decided wait thinking might nice go dinner together
79055,name inverso went college together
79056,yes
79057,'ve come decision
79058,matching shirt short brutal
79059,barbecue three year ago
79060,anything else wanted ask 'm last time wore pink last time drank soup standing final call strange question two morning
79061,wanted ask
79062,mean 're probably tired remember
79063,ca n't remember
79064,specific day 's
79065,okay
79066,n't know 's
79067,oh
79068,okay
79069,n't want drag
79070,mean
79071,yes
79072,'m proud 's lot life lot ups down lot bad spell couple 'd thought broken mean emotionally bad made yes
79073,'s spoken say 're becoming friend
79074,'m helping sale
79075,'s said son said 's always two kind villain fight hero hand 's real threat brilliant evil arch enemy fight hero mind
79076,dunne
79077,six foot two two hundred forty pound run fifty six second 's going
79078,'m meeting university 's cornerback like football
79079,right
79080,'s field represent athlete 'm
79081,second thought fanatic
79082,religious thing
79083,explanation
79084,way fate stepped took football equation
79085,football n't kind life wanted ten year 'd waiting call telling broke neck practice game n't call would call telling blew knee suffered third concussion 've seen way much job barely take client pain n't hate game admire amount skill involved like everyone else awe could play could n't give heart something happen always game 's thing many people would understand
79086,see husband big football college accident together car flipped icy road injured could n't play football anymore n't happened would n't together
79087,twelve year
79088,'re going prevent substantial atrophy good leg work quadriceps
79089,bench across street
79090,well go get
79091,forget want
79092,got present
79093,ca n't anything might fall chair television 's planned 's 's going happen ca n't hide room
79094,sitting room 've let go enough
79095,kicked shit innocent big asshole
79096,account seen beatin ' friend
79097,like whore
79098,done get pony ' 's
79099,ai n't even gon na whip 'em
79100,done
79101,whippin ' 's get done
79102,done seen teensy little pecker gave giggle 's n't know better
79103,'s gon na live n't steal nothin ' n't touch poke
79104,rain 's coming
79105,lyin '
79106,ai n't got ai n't got money
79107,told n't aboveground anyhow
79108,said
79109,n't
79110,'s one true
79111,think come fuck u
79112,n't think 'd really
79113,wondered anybody could scared
79114,never seen like one killer
79115,maybe ai n't tough
79116,n't say nothin ' huh
79117,'d say
79118,'s coming ai n't
79119,building porch
79120,'s little christ sake
79121,uh hang uh
79122,maybe hang
79123,uh uh
79124,kill
79125,r r r really r r really w wwant
79126,loaded
79127,n't miss
79128,fellow quicker fire first
79129,mean english killed
79130,
79131,called
79132,
79133,believe accurate description event sir albeit certain poetry language
79134,
79135,uh assure mister daggett event described within based account eye witness
79136,uh 's uh generally considered desirable publishing business ah take certain license depicting cover ah purpose involving ah market place
79137,uh
79138,
79139,'s b b b
79140,n wr wr wr write wr wrwrite
79141,n sir
79142,said really three fingered missouri ' said three fingered dynamited rock island pacific '69 killin ' woman child ' ' say done lot worse said cold blooded bonney alisson brother ' hurt gon na come ' kill like killed u '73
79143,purpose started hurtin ' worse makin ' tell stuff first would n't say nothin ' little hurt bad said
79144,come sayin ' killed quick shit house bar
79145,l lie first passin ' n't kill nobody ' little kept askin ' question mixin ' catchin ' lie ' 'd beat ' would cry lie '
79146,' ' ' name '
79147,front greely 's say happens
79148,got sign say
79149,n beat making answer question beating died little n't mean kill said sorry ' said good example anyhow
79150,little bar caught little
79151,killed thought know thought knew
79152,'s 's dead
79153,'s share
79154,silky ' east ' two deputy followin '
79155,next
79156,wh wh confronted number experienced gunfighter fire best shot first
79157,wh wh kill first
79158,b b book killed five men singlehanded
79159,never c c carry arm 'm writer
79160,p p p please 'm armed g killed little
79161,think 'm shot
79162,n't know came wo n't part
79163,come home
79164,love hear
79165,love
79166,n't give
79167,give credit got far let 's go grand jury never going stop
79168,said wanted time
